ExpNum|Class|Method|Contract number|Contract kind|Closed?-BigintOn|Nodes-BigintOn|Closed?-BigintOff|Nodes-BigintOff
07|java.util.ArrayList|clear()|0|L||1223||1223
07|java.util.ArrayList|clear()|0|N||1269||1269
08|java.util.ArrayList|clear()|0|L||371||371
08|java.util.ArrayList|clear()|0|N||396||396
09|java.util.ArrayList|clear()|0|L||185||185
09|java.util.ArrayList|clear()|0|N||189||189
11|java.util.ArrayList|clear()|0|L|x|1695|x|1695
11|java.util.ArrayList|clear()|0|N||1728||1728
12|java.util.ArrayList|clear()|0|L||2557||2491
12|java.util.ArrayList|clear()|0|N||4446||4446
13|java.util.ArrayList|clear()|0|L|x|1243|x|1243
13|java.util.ArrayList|clear()|0|N||1510||1510
14|java.util.ArrayList|clear()|0|L||922||922
14|java.util.ArrayList|clear()|0|N||1206||1206
15|java.util.ArrayList|clear()|0|L|x|2266|x|2266
16|java.util.ArrayList|clear()|0|L||2517||2517
16|java.util.ArrayList|clear()|0|N||4229||4229
17|java.util.ArrayList|clear()|0|L||1037||1037
17|java.util.ArrayList|clear()|0|N||1356||1356
18|java.util.ArrayList|clear()|0|L|x|1735|x|1735
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||396||396
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
07|java.util.ArrayList|ensureCapacity(int)|0|N||300||300
07|java.util.ArrayList|ensureCapacity(int)|1|N||2323||2323
08|java.util.ArrayList|ensureCapacity(int)|0|N||136||136
08|java.util.ArrayList|ensureCapacity(int)|1|N||228||228
09|java.util.ArrayList|ensureCapacity(int)|0|N||146||146
09|java.util.ArrayList|ensureCapacity(int)|1|N||230||230
11|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
12|java.util.ArrayList|ensureCapacity(int)|0|N||447||447
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
14|java.util.ArrayList|ensureCapacity(int)|0|N||277||277
14|java.util.ArrayList|ensureCapacity(int)|1|N||1958||1958
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
16|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
17|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
17|java.util.ArrayList|ensureCapacity(int)|1|N||2363||2363
18|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
03|java.util.ArrayList|fastRemove(int)|0|N||2812||2812
07|java.util.ArrayList|fastRemove(int)|0|N||2922||2909
08|java.util.ArrayList|fastRemove(int)|0|N||281||281
09|java.util.ArrayList|fastRemove(int)|0|N||251||251
14|java.util.ArrayList|fastRemove(int)|0|N||2217||2217
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||143||143
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
07|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
09|java.util.ArrayList|isEmpty()|0|L||65||65
11|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
12|java.util.ArrayList|isEmpty()|0|L||190||190
13|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
14|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
15|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
16|java.util.ArrayList|isEmpty()|0|L||171||171
17|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
18|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||6580
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||246||246
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|939
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|440|x|440
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N||150||150
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||102||102
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|244|x|244
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|278|x|278
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||295||295
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|458|x|458
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|431
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||739||739
07|java.util.ArrayList|rangeCheck(int)|0|L|x|1686|x|1686
08|java.util.ArrayList|rangeCheck(int)|0|L||404||404
09|java.util.ArrayList|rangeCheck(int)|0|L||315||315
11|java.util.ArrayList|rangeCheck(int)|0|L|x|699|x|699
12|java.util.ArrayList|rangeCheck(int)|0|L||1681||1713
13|java.util.ArrayList|rangeCheck(int)|0|L|x|967|x|967
14|java.util.ArrayList|rangeCheck(int)|0|L||795||795
16|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
17|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1116
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||805||810
07|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3372|x|3368
08|java.util.ArrayList|rangeCheckForAdd(int)|0|L||423||423
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||342||342
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1407|x|1407
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3418||3418
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1931|x|1931
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1570||1570
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|2161
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||91||91
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N|x|104|x|104
07|java.util.ArrayList|size()|0|N|x|80|x|80
07|java.util.ArrayList|size()|1|N||100||100
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N||61||61
09|java.util.ArrayList|size()|0|N||43||43
09|java.util.ArrayList|size()|1|N||46||46
11|java.util.ArrayList|size()|0|N|x|41|x|41
11|java.util.ArrayList|size()|1|N|x|67|x|67
12|java.util.ArrayList|size()|0|N||102||102
12|java.util.ArrayList|size()|1|N||107||107
13|java.util.ArrayList|size()|0|N|x|44|x|44
13|java.util.ArrayList|size()|1|N|x|67|x|67
14|java.util.ArrayList|size()|0|N|x|80|x|80
14|java.util.ArrayList|size()|1|N||102||102
15|java.util.ArrayList|size()|0|N|x|80|x|80
15|java.util.ArrayList|size()|1|N|x|103|x|103
16|java.util.ArrayList|size()|0|N||110||110
16|java.util.ArrayList|size()|1|N||94||94
17|java.util.ArrayList|size()|0|N|x|89|x|89
17|java.util.ArrayList|size()|1|N||98||98
18|java.util.ArrayList|size()|0|N|x|88|x|88
18|java.util.ArrayList|size()|1|N|x|108|x|108
01|java.util.ArrayList|trimToSize()|0|N||222||222
