ExpNum|Class|Method|Contract number|Contract kind|Closed?-MoreSeqRulesOn|Nodes-MoreSeqRulesOn|Closed?-MoreSeqRulesOff|Nodes-MoreSeqRulesOff
13|java.util.ArrayList|clear()|0|L|x|1111|x|1111
13|java.util.ArrayList|clear()|0|N||509||509
14|java.util.ArrayList|clear()|0|L||868||868
14|java.util.ArrayList|clear()|0|N||677||677
15|java.util.ArrayList|clear()|0|L|x|2267|x|2267
15|java.util.ArrayList|clear()|0|N||2305||2305
18|java.util.ArrayList|clear()|0|L|x|1731|x|1731
18|java.util.ArrayList|clear()|0|N||2114||2124
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||287||287
06|java.util.ArrayList|ensureCapacity(int)|1|N||380||380
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
09|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
10|java.util.ArrayList|ensureCapacity(int)|0|N||361||361
10|java.util.ArrayList|ensureCapacity(int)|1|N||2759||2759
11|java.util.ArrayList|ensureCapacity(int)|0|N||323||323
12|java.util.ArrayList|ensureCapacity(int)|0|N||259||259
12|java.util.ArrayList|ensureCapacity(int)|1|N||404||404
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
14|java.util.ArrayList|ensureCapacity(int)|0|N||293||293
14|java.util.ArrayList|ensureCapacity(int)|1|N||401||401
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
18|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
06|java.util.ArrayList|fastRemove(int)|0|N||427||427
10|java.util.ArrayList|fastRemove(int)|0|N||4253||4251
12|java.util.ArrayList|fastRemove(int)|0|N||417||417
14|java.util.ArrayList|fastRemove(int)|0|N||463||463
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
07|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
