ExpNum|Class|Method|Contract number|Contract kind|Closed?-DependencyContractsOn|Nodes-DependencyContractsOn|Closed?-DependencyContractsOff|Nodes-DependencyContractsOff
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1468||1468
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2013|x|2013
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1560||1560
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1463||1463
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3326|x|3326
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2504||2456
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||3356
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||3317
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||110
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N||98||98
07|java.util.ArrayList|size()|0|N|x|89|x|89
07|java.util.ArrayList|size()|1|N|x|104|x|104
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N|x|62|x|62
09|java.util.ArrayList|size()|0|N||58||58
09|java.util.ArrayList|size()|1|N||59||59
11|java.util.ArrayList|size()|0|N|x|41|x|41
11|java.util.ArrayList|size()|1|N|x|62|x|62
12|java.util.ArrayList|size()|0|N|x|80|x|80
12|java.util.ArrayList|size()|1|N||100||100
13|java.util.ArrayList|size()|0|N||90||90
13|java.util.ArrayList|size()|1|N||94||94
14|java.util.ArrayList|size()|0|N|x|89|x|89
14|java.util.ArrayList|size()|1|N||98||98
15|java.util.ArrayList|size()|0|N|x|41|x|41
15|java.util.ArrayList|size()|1|N|x|62|x|62
16|java.util.ArrayList|size()|0|N||102||102
16|java.util.ArrayList|size()|1|N||107||107
17|java.util.ArrayList|size()|0|N||110||110
17|java.util.ArrayList|size()|1|N||94||94
18|java.util.ArrayList|size()|0|N||91||91
18|java.util.ArrayList|size()|1|N||85||85
19|java.util.ArrayList|size()|0|N|x|88|x|88
19|java.util.ArrayList|size()|1|N|x|108|x|108
01|java.util.ArrayList|trimToSize()|0|N||222||222
02|java.util.ArrayList|trimToSize()|0|N||1340||1340
03|java.util.ArrayList|trimToSize()|0|N||2373||2373
06|java.util.ArrayList|trimToSize()|0|N||388||388
09|java.util.ArrayList|trimToSize()|0|N||1019||1019
11|java.util.ArrayList|trimToSize()|0|N||1004||1004
12|java.util.ArrayList|trimToSize()|0|N||1126||1126
13|java.util.ArrayList|trimToSize()|0|N||1518||1518
14|java.util.ArrayList|trimToSize()|0|N||1373||1373
15|java.util.ArrayList|trimToSize()|0|N|x|1181|x|1181
16|java.util.ArrayList|trimToSize()|0|N||1949||1949
17|java.util.ArrayList|trimToSize()|0|N||2246||2373
18|java.util.ArrayList|trimToSize()|0|N||1817||1817
