ExpNum|Class|Method|Contract number|Contract kind|Closed?-QuantifierTreatmentNone|Nodes-QuantifierTreatmentNone|Closed?-QuantifierTreatmentFree|Nodes-QuantifierTreatmentFree
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2260||2350
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1360|x|1370
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3307|x|3326
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3518|x|3511
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2260||2350
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||102||110
03|java.util.ArrayList|size()|1|N||107||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N||98||98
07|java.util.ArrayList|size()|0|N||42||42
07|java.util.ArrayList|size()|1|N||45||45
08|java.util.ArrayList|size()|0|N|x|80|x|80
08|java.util.ArrayList|size()|1|N|x|106|x|103
09|java.util.ArrayList|size()|0|N|x|41|x|41
09|java.util.ArrayList|size()|1|N|x|62|x|62
10|java.util.ArrayList|size()|0|N||93||91
10|java.util.ArrayList|size()|1|N||98||85
11|java.util.ArrayList|size()|0|N|x|44|x|44
11|java.util.ArrayList|size()|1|N|x|71|x|67
12|java.util.ArrayList|size()|0|N|x|89|x|89
12|java.util.ArrayList|size()|1|N||98||98
13|java.util.ArrayList|size()|0|N|x|80|x|80
13|java.util.ArrayList|size()|1|N|x|106|x|112
14|java.util.ArrayList|size()|0|N||93||91
14|java.util.ArrayList|size()|1|N||98||85
15|java.util.ArrayList|size()|0|N|x|89|x|88
15|java.util.ArrayList|size()|1|N|x|104|x|108
