ExpNum|Class|Method|Contract number|Contract kind|Closed?-ProofSplittingDelayed|Nodes-ProofSplittingDelayed|Closed?-ProofSplittingFree|Nodes-ProofSplittingFree
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|1952|x|5287
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|1003|x|1872
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|943|x|1140
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|1909|x|3103
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|4855|x|4776
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|2807|x|4746
16|java.util.ArrayList|add(java.lang.Object)|0|E||1501||1549
16|java.util.ArrayList|add(java.lang.Object)|0|L||5026||5850
16|java.util.ArrayList|add(java.lang.Object)|0|N||5561||6216
16|java.util.ArrayList|add(java.lang.Object)|1|N||9630||12164
16|java.util.ArrayList|add(java.lang.Object)|2|N||2215||2952
17|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1549
17|java.util.ArrayList|add(java.lang.Object)|0|L||4949||5888
18|java.util.ArrayList|add(java.lang.Object)|0|E||1508||1573
18|java.util.ArrayList|add(java.lang.Object)|0|L||4949||5802
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1731
02|java.util.ArrayList|clear()|0|N||1711||1721
03|java.util.ArrayList|clear()|0|L||2793||2794
03|java.util.ArrayList|clear()|0|N||2772||2772
05|java.util.ArrayList|clear()|0|L|x|1680|x|1680
06|java.util.ArrayList|clear()|0|L||1223||1223
06|java.util.ArrayList|clear()|0|N||1525||1525
07|java.util.ArrayList|clear()|0|L|x|1127|x|1127
07|java.util.ArrayList|clear()|0|N|x|1109|x|1109
08|java.util.ArrayList|clear()|0|L|x|1980|x|1980
08|java.util.ArrayList|clear()|0|N|x|1991|x|1991
09|java.util.ArrayList|clear()|0|L||185||185
09|java.util.ArrayList|clear()|0|N||189||189
10|java.util.ArrayList|clear()|0|L||292||292
10|java.util.ArrayList|clear()|0|N||319||319
11|java.util.ArrayList|clear()|0|L||2793||2793
11|java.util.ArrayList|clear()|0|N||4451||4604
12|java.util.ArrayList|clear()|0|L||1037||1037
12|java.util.ArrayList|clear()|0|N||1020||1020
13|java.util.ArrayList|clear()|0|L|x|1680|x|1680
14|java.util.ArrayList|clear()|0|L|x|2267|x|2267
14|java.util.ArrayList|clear()|0|N||2711||2711
15|java.util.ArrayList|clear()|0|L||2491||2491
15|java.util.ArrayList|clear()|0|N||4446||4446
16|java.util.ArrayList|clear()|0|L||1037||1037
16|java.util.ArrayList|clear()|0|N||1020||1020
17|java.util.ArrayList|clear()|0|L||1073||1073
17|java.util.ArrayList|clear()|0|N||2327||2327
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||300||300
06|java.util.ArrayList|ensureCapacity(int)|1|N||2155||2323
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
09|java.util.ArrayList|ensureCapacity(int)|0|N||146||146
09|java.util.ArrayList|ensureCapacity(int)|1|N||230||230
10|java.util.ArrayList|ensureCapacity(int)|0|N||272||272
11|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
12|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
12|java.util.ArrayList|ensureCapacity(int)|1|N||2363||2363
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
15|java.util.ArrayList|ensureCapacity(int)|0|N||447||447
16|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
16|java.util.ArrayList|ensureCapacity(int)|1|N||2183||2183
17|java.util.ArrayList|ensureCapacity(int)|0|N||361||361
17|java.util.ArrayList|ensureCapacity(int)|1|N||4022||4223
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
02|java.util.ArrayList|fastRemove(int)|0|N|x|7762|x|8181
06|java.util.ArrayList|fastRemove(int)|0|N||2664||2922
08|java.util.ArrayList|fastRemove(int)|0|N|x|11522|x|11121
09|java.util.ArrayList|fastRemove(int)|0|N||251||251
10|java.util.ArrayList|fastRemove(int)|0|N||2342||2342
12|java.util.ArrayList|fastRemove(int)|0|N||9767||9722
14|java.util.ArrayList|fastRemove(int)|0|N|x|10870|x|17913
16|java.util.ArrayList|fastRemove(int)|0|N||2545||2669
17|java.util.ArrayList|fastRemove(int)|0|N||14134||14359
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||171
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
07|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
09|java.util.ArrayList|isEmpty()|0|L||65||65
10|java.util.ArrayList|isEmpty()|0|L||74||74
11|java.util.ArrayList|isEmpty()|0|L||171||171
12|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
13|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
14|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
15|java.util.ArrayList|isEmpty()|0|L||190||190
16|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
17|java.util.ArrayList|isEmpty()|0|L||153||153
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|10428|x|11258
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|939
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|440|x|440
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|253|x|253
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|454|x|454
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||7904||5088
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||116||116
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||474
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|431
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|242|x|242
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|455|x|455
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N||479||479
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|431
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||464
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|955
02|java.util.ArrayList|rangeCheck(int)|0|L|x|1145|x|1711
03|java.util.ArrayList|rangeCheck(int)|0|L||1250||1729
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1074|x|1686
09|java.util.ArrayList|rangeCheck(int)|0|L||315||315
10|java.util.ArrayList|rangeCheck(int)|0|L||347||347
11|java.util.ArrayList|rangeCheck(int)|0|L||1250||1729
12|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1678
14|java.util.ArrayList|rangeCheck(int)|0|L|x|1121|x|1742
15|java.util.ArrayList|rangeCheck(int)|0|L||1199||1681
16|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1678
