ExpNum|Class|Method|Contract number|Contract kind|Closed?-LoopTreatmentInvariant|Nodes-LoopTreatmentInvariant|Closed?-LoopTreatmentLoopScopeInvariant|Nodes-LoopTreatmentLoopScopeInvariant
03|java.util.ArrayList|clear()|0|L||2794||2517
03|java.util.ArrayList|clear()|0|N||2772||2580
05|java.util.ArrayList|clear()|0|L|x|1801|x|1680
06|java.util.ArrayList|clear()|0|L||1125||920
06|java.util.ArrayList|clear()|0|N||1421||1213
07|java.util.ArrayList|clear()|0|L|x|1825|x|1712
07|java.util.ArrayList|clear()|0|N|x|1847|x|1724
08|java.util.ArrayList|clear()|0|L|x|1243|x|1109
08|java.util.ArrayList|clear()|0|N|x|1281|x|1141
10|java.util.ArrayList|clear()|0|L||388||472
10|java.util.ArrayList|clear()|0|N||378||457
11|java.util.ArrayList|clear()|0|L|x|2516|x|2266
12|java.util.ArrayList|clear()|0|L|x|1960|x|1714
12|java.util.ArrayList|clear()|0|N||2384||2118
13|java.util.ArrayList|clear()|0|L||466||375
13|java.util.ArrayList|clear()|0|N||320||334
14|java.util.ArrayList|clear()|0|L||2298||2032
14|java.util.ArrayList|clear()|0|N||2670||2406
16|java.util.ArrayList|clear()|0|L|x|1980|x|1735
17|java.util.ArrayList|clear()|0|L|x|1980|x|1735
18|java.util.ArrayList|clear()|0|L|x|1980|x|1735
19|java.util.ArrayList|clear()|0|L|x|2516|x|2267
19|java.util.ArrayList|clear()|0|N||2938||2711
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||271||271
06|java.util.ArrayList|ensureCapacity(int)|1|N||1582||1582
07|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
08|java.util.ArrayList|ensureCapacity(int)|1|N||745||745
10|java.util.ArrayList|ensureCapacity(int)|0|N||270||270
10|java.util.ArrayList|ensureCapacity(int)|1|N||416||416
11|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
13|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
13|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
14|java.util.ArrayList|ensureCapacity(int)|0|N||398||398
14|java.util.ArrayList|ensureCapacity(int)|1|N||4204||4204
16|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
17|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
18|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
19|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
05|java.util.ArrayList|fastRemove(int)|0|N|x|20540|x|20540
06|java.util.ArrayList|fastRemove(int)|0|N||1930||1930
08|java.util.ArrayList|fastRemove(int)|0|N||1877||1877
10|java.util.ArrayList|fastRemove(int)|0|N||463||463
12|java.util.ArrayList|fastRemove(int)|0|N||6545||6598
13|java.util.ArrayList|fastRemove(int)|0|N||290||290
