ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
11|java.util.ArrayList|add(java.lang.Object)|0|E|x|31|x|889
11|java.util.ArrayList|add(java.lang.Object)|0|L|x|1973|x|1929
11|java.util.ArrayList|add(java.lang.Object)|1|N|x|2398|x|4176
11|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|2668
12|java.util.ArrayList|add(java.lang.Object)|0|E|x|22|x|406
12|java.util.ArrayList|add(java.lang.Object)|0|L|x|1931|x|1777
12|java.util.ArrayList|add(java.lang.Object)|1|N|x|1985|x|1981
12|java.util.ArrayList|add(java.lang.Object)|2|N|x|21|x|495
13|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|1140
13|java.util.ArrayList|add(java.lang.Object)|0|L|x|2920|x|3110
13|java.util.ArrayList|add(java.lang.Object)|1|N|x|3061|x|4825
13|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|2453
14|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|1144
14|java.util.ArrayList|add(java.lang.Object)|0|L|x|2914|x|3160
14|java.util.ArrayList|add(java.lang.Object)|0|N||2954||3169
14|java.util.ArrayList|add(java.lang.Object)|1|N|x|3095|x|4835
14|java.util.ArrayList|add(java.lang.Object)|2|N|x|24|x|1901
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|943
15|java.util.ArrayList|add(java.lang.Object)|0|L|x|2255|x|1892
15|java.util.ArrayList|add(java.lang.Object)|1|N|x|2107|x|2044
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|954
16|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|944
16|java.util.ArrayList|add(java.lang.Object)|0|L||1265||1116
16|java.util.ArrayList|add(java.lang.Object)|0|N||2925||2791
16|java.util.ArrayList|add(java.lang.Object)|1|N||1305||1198
16|java.util.ArrayList|add(java.lang.Object)|2|N|x|29|x|955
17|java.util.ArrayList|add(java.lang.Object)|0|E|x|34|x|944
17|java.util.ArrayList|add(java.lang.Object)|0|L|x|2252|x|1860
