ExpNum|Class|Method|Contract number|Contract kind|Closed?-StopAtDefault|Nodes-StopAtDefault|Closed?-StopAtUnclosable|Nodes-StopAtUnclosable
14|java.util.ArrayList|clear()|0|N||2114||885
15|java.util.ArrayList|clear()|0|L|x|2266|x|2266
16|java.util.ArrayList|clear()|0|L|x|2227|x|2227
16|java.util.ArrayList|clear()|0|N||2641||837
18|java.util.ArrayList|clear()|0|L||2517||573
18|java.util.ArrayList|clear()|0|N||4229||605
19|java.util.ArrayList|clear()|0|L||1073||472
19|java.util.ArrayList|clear()|0|N||2327||488
01|java.util.ArrayList|ensureCapacity(int)|0|N||165||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||1473||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||929
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||396
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||271||264
06|java.util.ArrayList|ensureCapacity(int)|1|N||1582||380
07|java.util.ArrayList|ensureCapacity(int)|0|N||300||293
07|java.util.ArrayList|ensureCapacity(int)|1|N||2323||383
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
09|java.util.ArrayList|ensureCapacity(int)|0|N||319||268
11|java.util.ArrayList|ensureCapacity(int)|0|N||277||270
11|java.util.ArrayList|ensureCapacity(int)|1|N||1958||401
12|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
13|java.util.ArrayList|ensureCapacity(int)|0|N||361||270
13|java.util.ArrayList|ensureCapacity(int)|1|N||4134||416
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
15|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
16|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
18|java.util.ArrayList|ensureCapacity(int)|0|N||451||396
19|java.util.ArrayList|ensureCapacity(int)|0|N||361||270
19|java.util.ArrayList|ensureCapacity(int)|1|N||4223||416
01|java.util.ArrayList|fastRemove(int)|0|N||7698||290
05|java.util.ArrayList|fastRemove(int)|0|N|x|20252|x|20540
06|java.util.ArrayList|fastRemove(int)|0|N||1930||420
07|java.util.ArrayList|fastRemove(int)|0|N||2909||424
11|java.util.ArrayList|fastRemove(int)|0|N||2217||456
12|java.util.ArrayList|fastRemove(int)|0|N|x|6229|x|6974
13|java.util.ArrayList|fastRemove(int)|0|N||14289||463
14|java.util.ArrayList|fastRemove(int)|0|N|x|6841|x|7307
16|java.util.ArrayList|fastRemove(int)|0|N||17560||17388
19|java.util.ArrayList|fastRemove(int)|0|N||14359||463
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||143
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
07|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
09|java.util.ArrayList|isEmpty()|0|L||140||74
11|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
12|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
13|java.util.ArrayList|isEmpty()|0|L||153||134
14|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
15|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
16|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
18|java.util.ArrayList|isEmpty()|0|L||171||143
19|java.util.ArrayList|isEmpty()|0|L||153||134
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1029
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||6580
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||246
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|939
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||290||290
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|440|x|440
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||371||116
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||295||295
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|952|x|952
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||233
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456|x|456
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|458|x|458
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|14033|x|14033
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474||246
19|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||233
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||853
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||739
06|java.util.ArrayList|rangeCheck(int)|0|L||826||819
07|java.util.ArrayList|rangeCheck(int)|0|L|x|1686|x|1686
09|java.util.ArrayList|rangeCheck(int)|0|L||745||349
11|java.util.ArrayList|rangeCheck(int)|0|L||795||788
12|java.util.ArrayList|rangeCheck(int)|0|L|x|967|x|967
13|java.util.ArrayList|rangeCheck(int)|0|L||1635||713
14|java.util.ArrayList|rangeCheck(int)|0|L|x|1145|x|1145
16|java.util.ArrayList|rangeCheck(int)|0|L|x|1735|x|1731
18|java.util.ArrayList|rangeCheck(int)|0|L||1729||739
19|java.util.ArrayList|rangeCheck(int)|0|L||1635||713
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||905
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||805
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1580||861
07|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3368|x|3372
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1563||392
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1570||850
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1931|x|1931
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||758
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2234|x|2234
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3518|x|3518
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356||810
19|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||758
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61||61
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N|x|104|x|104
03|java.util.ArrayList|size()|0|N||110||91
03|java.util.ArrayList|size()|1|N||94||94
05|java.util.ArrayList|size()|0|N|x|41|x|41
05|java.util.ArrayList|size()|1|N|x|62|x|62
06|java.util.ArrayList|size()|0|N|x|89|x|89
06|java.util.ArrayList|size()|1|N||98||98
07|java.util.ArrayList|size()|0|N|x|80|x|80
07|java.util.ArrayList|size()|1|N||100||100
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N|x|62|x|62
09|java.util.ArrayList|size()|0|N||71||52
09|java.util.ArrayList|size()|1|N||77||55
11|java.util.ArrayList|size()|0|N|x|80|x|80
11|java.util.ArrayList|size()|1|N||102||102
12|java.util.ArrayList|size()|0|N|x|44|x|44
12|java.util.ArrayList|size()|1|N|x|67|x|67
13|java.util.ArrayList|size()|0|N||91||82
13|java.util.ArrayList|size()|1|N||85||85
14|java.util.ArrayList|size()|0|N|x|89|x|89
14|java.util.ArrayList|size()|1|N|x|104|x|104
15|java.util.ArrayList|size()|0|N|x|80|x|80
15|java.util.ArrayList|size()|1|N|x|103|x|103
16|java.util.ArrayList|size()|0|N|x|80|x|80
16|java.util.ArrayList|size()|1|N|x|106|x|106
18|java.util.ArrayList|size()|0|N||110||91
18|java.util.ArrayList|size()|1|N||94||94
19|java.util.ArrayList|size()|0|N||91||82
19|java.util.ArrayList|size()|1|N||85||85
01|java.util.ArrayList|trimToSize()|0|N||848||222
