ExpNum|Class|Method|Contract number|Contract kind|Closed?-SequencesOn|Nodes-SequencesOn|Closed?-SequencesOff|Nodes-SequencesOff
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
04|java.util.ArrayList|ensureCapacity(int)|0|N|x|231|x|231
05|java.util.ArrayList|ensureCapacity(int)|0|N|x|237|x|237
06|java.util.ArrayList|ensureCapacity(int)|0|N||300||300
06|java.util.ArrayList|ensureCapacity(int)|1|N||2323||2323
07|java.util.ArrayList|ensureCapacity(int)|0|N||133||133
07|java.util.ArrayList|ensureCapacity(int)|1|N||255||255
08|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
10|java.util.ArrayList|ensureCapacity(int)|0|N||139||139
10|java.util.ArrayList|ensureCapacity(int)|1|N||617||617
11|java.util.ArrayList|ensureCapacity(int)|0|N||272||272
12|java.util.ArrayList|ensureCapacity(int)|0|N||270||270
12|java.util.ArrayList|ensureCapacity(int)|1|N||401||401
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
16|java.util.ArrayList|ensureCapacity(int)|0|N|x|374|x|374
17|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
01|java.util.ArrayList|fastRemove(int)|0|N||290||290
06|java.util.ArrayList|fastRemove(int)|0|N||2922||2922
07|java.util.ArrayList|fastRemove(int)|0|N||283||283
10|java.util.ArrayList|fastRemove(int)|0|N||710||710
11|java.util.ArrayList|fastRemove(int)|0|N||2342||2342
12|java.util.ArrayList|fastRemove(int)|0|N||456||456
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L||171||171
04|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
05|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
06|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
07|java.util.ArrayList|isEmpty()|0|L||46||46
08|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
10|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
11|java.util.ArrayList|isEmpty()|0|L||74||74
12|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
13|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
14|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
16|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
17|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|235
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6580||309
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||2028||474
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|939|x|242
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||884||147
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||852||116
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|978|x|458
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||860||860
03|java.util.ArrayList|rangeCheck(int)|0|L||1729||1729
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1686|x|1686
07|java.util.ArrayList|rangeCheck(int)|0|L||307||307
10|java.util.ArrayList|rangeCheck(int)|0|L||402||402
11|java.util.ArrayList|rangeCheck(int)|0|L||347||347
12|java.util.ArrayList|rangeCheck(int)|0|L||788||788
13|java.util.ArrayList|rangeCheck(int)|0|L|x|1144|x|1144
14|java.util.ArrayList|rangeCheck(int)|0|L|x|1742|x|1742
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1306
