ExpNum|Class|Method|Contract number|Contract kind|Closed?-ArithmeticTreatmentBasic|Nodes-ArithmeticTreatmentBasic|Closed?-ArithmeticTreatmentDefOps|Nodes-ArithmeticTreatmentDefOps
08|java.util.ArrayList|ensureCapacity(int)|0|N||139|x|231
08|java.util.ArrayList|ensureCapacity(int)|1|N||827||2326
09|java.util.ArrayList|ensureCapacity(int)|0|N||361||447
10|java.util.ArrayList|ensureCapacity(int)|0|N||270||396
11|java.util.ArrayList|ensureCapacity(int)|0|N||287|x|371
12|java.util.ArrayList|ensureCapacity(int)|0|N||162|x|237
13|java.util.ArrayList|ensureCapacity(int)|0|N||294|x|371
14|java.util.ArrayList|ensureCapacity(int)|0|N||361||451
15|java.util.ArrayList|ensureCapacity(int)|0|N||362||447
16|java.util.ArrayList|ensureCapacity(int)|0|N||361||451
17|java.util.ArrayList|ensureCapacity(int)|0|N||361||451
05|java.util.ArrayList|fastRemove(int)|0|N||456||2810
10|java.util.ArrayList|fastRemove(int)|0|N||463||2812
12|java.util.ArrayList|fastRemove(int)|0|N||290|x|16100
01|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
02|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
03|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
04|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
05|java.util.ArrayList|isEmpty()|0|L||113||122
06|java.util.ArrayList|isEmpty()|0|L||113||140
07|java.util.ArrayList|isEmpty()|0|L|x|111|x|111
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|47
09|java.util.ArrayList|isEmpty()|0|L||153||171
10|java.util.ArrayList|isEmpty()|0|L||134||143
11|java.util.ArrayList|isEmpty()|0|L|x|115|x|115
12|java.util.ArrayList|isEmpty()|0|L|x|44|x|44
13|java.util.ArrayList|isEmpty()|0|L|x|114|x|114
14|java.util.ArrayList|isEmpty()|0|L||153||171
15|java.util.ArrayList|isEmpty()|0|L||172||190
16|java.util.ArrayList|isEmpty()|0|L||153||171
17|java.util.ArrayList|isEmpty()|0|L||153||171
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1052
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6592||6580
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|456
04|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|810|x|951
05|java.util.ArrayList|outOfBoundsMsg(int)|0|N||225||239
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N||332||371
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N||292||306
08|java.util.ArrayList|outOfBoundsMsg(int)|0|N||150||162
09|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||474
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|235|x|244
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431|x|456
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||474
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N||475||479
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||474
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464||474
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|699
02|java.util.ArrayList|rangeCheck(int)|0|L||829||860
03|java.util.ArrayList|rangeCheck(int)|0|L|x|1678|x|1711
04|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|699
05|java.util.ArrayList|rangeCheck(int)|0|L||705||733
06|java.util.ArrayList|rangeCheck(int)|0|L||883||941
07|java.util.ArrayList|rangeCheck(int)|0|L||790||830
08|java.util.ArrayList|rangeCheck(int)|0|L||407||434
09|java.util.ArrayList|rangeCheck(int)|0|L||1159||1250
10|java.util.ArrayList|rangeCheck(int)|0|L||713||739
11|java.util.ArrayList|rangeCheck(int)|0|L|x|1665|x|1706
12|java.util.ArrayList|rangeCheck(int)|0|L|x|955|x|1000
13|java.util.ArrayList|rangeCheck(int)|0|L|x|1116|x|1145
14|java.util.ArrayList|rangeCheck(int)|0|L||1635||1707
15|java.util.ArrayList|rangeCheck(int)|0|L||1144||1199
16|java.util.ArrayList|rangeCheck(int)|0|L||1635||1729
17|java.util.ArrayList|rangeCheck(int)|0|L||1635||1729
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1407
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1587||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3326|x|3388
04|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|1407
05|java.util.ArrayList|rangeCheckForAdd(int)|0|L||748||798
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1805||1952
07|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1560||1643
08|java.util.ArrayList|rangeCheckForAdd(int)|0|L||784||843
09|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2350||2384
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||758||805
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3307|x|3374
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1926|x|2037
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161|x|2234
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||3356
15|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2260||2504
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||3356
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317||3436
01|java.util.ArrayList|size()|0|N|x|41|x|41
01|java.util.ArrayList|size()|1|N||61|x|67
02|java.util.ArrayList|size()|0|N|x|89|x|89
02|java.util.ArrayList|size()|1|N||98|x|104
03|java.util.ArrayList|size()|0|N|x|89|x|89
03|java.util.ArrayList|size()|1|N||98|x|104
04|java.util.ArrayList|size()|0|N|x|41|x|41
04|java.util.ArrayList|size()|1|N||61|x|67
05|java.util.ArrayList|size()|0|N||81||90
05|java.util.ArrayList|size()|1|N||85||94
06|java.util.ArrayList|size()|0|N||52||71
06|java.util.ArrayList|size()|1|N||59||77
07|java.util.ArrayList|size()|0|N|x|80|x|80
07|java.util.ArrayList|size()|1|N||100|x|106
08|java.util.ArrayList|size()|0|N|x|44|x|44
08|java.util.ArrayList|size()|1|N||61|x|67
09|java.util.ArrayList|size()|0|N||91||110
09|java.util.ArrayList|size()|1|N||85||94
10|java.util.ArrayList|size()|0|N||82||91
10|java.util.ArrayList|size()|1|N||85||94
11|java.util.ArrayList|size()|0|N|x|89|x|89
11|java.util.ArrayList|size()|1|N||98|x|104
12|java.util.ArrayList|size()|0|N|x|41|x|41
12|java.util.ArrayList|size()|1|N||61|x|67
13|java.util.ArrayList|size()|0|N|x|89|x|89
13|java.util.ArrayList|size()|1|N||98|x|104
14|java.util.ArrayList|size()|0|N||91||110
14|java.util.ArrayList|size()|1|N||85||94
15|java.util.ArrayList|size()|0|N||93||102
15|java.util.ArrayList|size()|1|N||98||107
16|java.util.ArrayList|size()|0|N||91||110
16|java.util.ArrayList|size()|1|N||85||94
17|java.util.ArrayList|size()|0|N||91||110
17|java.util.ArrayList|size()|1|N||85||94
01|java.util.ArrayList|trimToSize()|0|N||222|x|1095
02|java.util.ArrayList|trimToSize()|0|N||1071||1340
03|java.util.ArrayList|trimToSize()|0|N||1381|x|1649
04|java.util.ArrayList|trimToSize()|0|N||222||979
05|java.util.ArrayList|trimToSize()|0|N||374||484
06|java.util.ArrayList|trimToSize()|0|N||954||1341
07|java.util.ArrayList|trimToSize()|0|N||1126||1423
08|java.util.ArrayList|trimToSize()|0|N||484||721
09|java.util.ArrayList|trimToSize()|0|N||1754||2158
10|java.util.ArrayList|trimToSize()|0|N||422||542
11|java.util.ArrayList|trimToSize()|0|N||388||1309
12|java.util.ArrayList|trimToSize()|0|N||222|x|1320
13|java.util.ArrayList|trimToSize()|0|N||1191||1452
14|java.util.ArrayList|trimToSize()|0|N||1817||2373
15|java.util.ArrayList|trimToSize()|0|N||1624||1949
16|java.util.ArrayList|trimToSize()|0|N||1755||2373
17|java.util.ArrayList|trimToSize()|0|N||1755||2277
