ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleFree|Nodes-ClassAxiomRuleFree|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N||150||94
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||293||225
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|456||474
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|431||464
01|java.util.ArrayList|rangeCheck(int)|0|L|x|674||315
02|java.util.ArrayList|rangeCheck(int)|0|L||860||740
03|java.util.ArrayList|rangeCheck(int)|0|L|x|1711||1729
06|java.util.ArrayList|rangeCheck(int)|0|L|x|1665||1629
10|java.util.ArrayList|rangeCheck(int)|0|L||431||340
11|java.util.ArrayList|rangeCheck(int)|0|L|x|1116||1159
12|java.util.ArrayList|rangeCheck(int)|0|L|x|1145||1250
13|java.util.ArrayList|rangeCheck(int)|0|L||404||307
14|java.util.ArrayList|rangeCheck(int)|0|L||829||712
16|java.util.ArrayList|rangeCheck(int)|0|L|x|1706||1713
17|java.util.ArrayList|rangeCheck(int)|0|L|x|1711||1729
18|java.util.ArrayList|rangeCheck(int)|0|L|x|1678||1635
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1318||341
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1654||1463
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3388||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3307||3219
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||460||383
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2161||2350
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2234||2384
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||423||333
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1587||1373
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3374||3418
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3388||3356
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|3326||3317
01|java.util.ArrayList|size()|0|N|x|44||43
01|java.util.ArrayList|size()|1|N||61||46
02|java.util.ArrayList|size()|0|N|x|89||90
02|java.util.ArrayList|size()|1|N|x|104||94
03|java.util.ArrayList|size()|0|N|x|89||110
03|java.util.ArrayList|size()|1|N|x|104||94
06|java.util.ArrayList|size()|0|N|x|89||93
06|java.util.ArrayList|size()|1|N||98||98
10|java.util.ArrayList|size()|0|N|x|44||51
10|java.util.ArrayList|size()|1|N|x|67||54
11|java.util.ArrayList|size()|0|N|x|89||91
11|java.util.ArrayList|size()|1|N||98||85
12|java.util.ArrayList|size()|0|N|x|89||110
12|java.util.ArrayList|size()|1|N|x|104||94
13|java.util.ArrayList|size()|0|N|x|44||42
13|java.util.ArrayList|size()|1|N||61||45
14|java.util.ArrayList|size()|0|N|x|89||81
14|java.util.ArrayList|size()|1|N||98||85
16|java.util.ArrayList|size()|0|N|x|89||102
16|java.util.ArrayList|size()|1|N|x|104||107
17|java.util.ArrayList|size()|0|N|x|89||110
17|java.util.ArrayList|size()|1|N|x|104||94
18|java.util.ArrayList|size()|0|N|x|89||91
18|java.util.ArrayList|size()|1|N||98||85
01|java.util.ArrayList|trimToSize()|0|N||219||238
02|java.util.ArrayList|trimToSize()|0|N||1340||1518
03|java.util.ArrayList|trimToSize()|0|N|x|1649||2373
06|java.util.ArrayList|trimToSize()|0|N||1130||1724
10|java.util.ArrayList|trimToSize()|0|N||721||301
11|java.util.ArrayList|trimToSize()|0|N||1373||1692
12|java.util.ArrayList|trimToSize()|0|N||1452||2062
13|java.util.ArrayList|trimToSize()|0|N||199||190
14|java.util.ArrayList|trimToSize()|0|N||1071||1179
16|java.util.ArrayList|trimToSize()|0|N||1318||2182
17|java.util.ArrayList|trimToSize()|0|N|x|1680||2373
18|java.util.ArrayList|trimToSize()|0|N||1191||1755
