ExpNum|Class|Method|Contract number|Contract kind|Closed?-OneStepSimplificationEnabled|Nodes-OneStepSimplificationEnabled|Closed?-OneStepSimplificationDisabled|Nodes-OneStepSimplificationDisabled
08|java.util.ArrayList|isEmpty()|0|L|x|47|x|114
09|java.util.ArrayList|isEmpty()|0|L|x|44|x|111
10|java.util.ArrayList|isEmpty()|0|L||110||153
11|java.util.ArrayList|isEmpty()|0|L||46||113
12|java.util.ArrayList|isEmpty()|0|L|x|44|x|111
13|java.util.ArrayList|isEmpty()|0|L||110||153
14|java.util.ArrayList|isEmpty()|0|L|x|44|x|111
15|java.util.ArrayList|isEmpty()|0|L|x|47|x|114
16|java.util.ArrayList|isEmpty()|0|L||140||190
17|java.util.ArrayList|isEmpty()|0|L||46||113
18|java.util.ArrayList|isEmpty()|0|L||146||171
01|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|1029|x|1068
02|java.util.ArrayList|outOfBoundsMsg(int)|0|N||6231||6580
03|java.util.ArrayList|outOfBoundsMsg(int)|0|N||356||474
06|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|208|x|429
07|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|253|x|453
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||8404||9059
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||94||225
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|15236|x|13712
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N||338||464
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|242|x|458
15|java.util.ArrayList|outOfBoundsMsg(int)|0|N|x|278|x|456
16|java.util.ArrayList|outOfBoundsMsg(int)|0|N||371||479
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||94||225
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N||356||474
01|java.util.ArrayList|rangeCheck(int)|0|L|x|658|x|1077
02|java.util.ArrayList|rangeCheck(int)|0|L||434||860
03|java.util.ArrayList|rangeCheck(int)|0|L||931||1729
06|java.util.ArrayList|rangeCheck(int)|0|L|x|678|x|1111
10|java.util.ArrayList|rangeCheck(int)|0|L||714||1159
11|java.util.ArrayList|rangeCheck(int)|0|L||307||705
12|java.util.ArrayList|rangeCheck(int)|0|L|x|992|x|1735
13|java.util.ArrayList|rangeCheck(int)|0|L||909||1635
15|java.util.ArrayList|rangeCheck(int)|0|L|x|967|x|1711
16|java.util.ArrayList|rangeCheck(int)|0|L||745||1199
17|java.util.ArrayList|rangeCheck(int)|0|L||310||712
18|java.util.ArrayList|rangeCheck(int)|0|L||931||1729
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|2138
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||843||1654
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2033||3356
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1306|x|2154
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1468||2350
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||333||748
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|2013|x|3518
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1865||3317
15|java.util.ArrayList|rangeCheckForAdd(int)|0|L|x|1931|x|3388
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1563||2504
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||614||1373
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2033||3356
01|java.util.ArrayList|size()|0|N|x|41|x|80
01|java.util.ArrayList|size()|1|N||61||102
02|java.util.ArrayList|size()|0|N|x|44|x|89
02|java.util.ArrayList|size()|1|N|x|67|x|104
03|java.util.ArrayList|size()|0|N||76||110
03|java.util.ArrayList|size()|1|N||77||94
05|java.util.ArrayList|size()|0|N|x|41|x|80
05|java.util.ArrayList|size()|1|N|x|62|x|103
06|java.util.ArrayList|size()|0|N|x|44|x|89
06|java.util.ArrayList|size()|1|N||61||98
07|java.util.ArrayList|size()|0|N|x|44|x|89
07|java.util.ArrayList|size()|1|N|x|67|x|104
08|java.util.ArrayList|size()|0|N|x|44|x|88
08|java.util.ArrayList|size()|1|N|x|62|x|108
09|java.util.ArrayList|size()|0|N|x|41|x|80
09|java.util.ArrayList|size()|1|N|x|62|x|106
10|java.util.ArrayList|size()|0|N||58||91
10|java.util.ArrayList|size()|1|N||59||85
11|java.util.ArrayList|size()|0|N||42||81
11|java.util.ArrayList|size()|1|N||45||85
12|java.util.ArrayList|size()|0|N|x|41|x|80
12|java.util.ArrayList|size()|1|N|x|62|x|106
13|java.util.ArrayList|size()|0|N||58||91
13|java.util.ArrayList|size()|1|N||59||85
14|java.util.ArrayList|size()|0|N|x|41|x|80
14|java.util.ArrayList|size()|1|N|x|62|x|103
15|java.util.ArrayList|size()|0|N|x|44|x|89
15|java.util.ArrayList|size()|1|N|x|67|x|104
