ExpNum|Class|Method|Contract number|Contract kind|Closed?-IntegerSimplificationRulesFull|Nodes-IntegerSimplificationRulesFull|Closed?-IntegerSimplificationRulesMinimal|Nodes-IntegerSimplificationRulesMinimal
12|java.util.ArrayList|clear()|0|L||472||472
12|java.util.ArrayList|clear()|0|N||488||486
13|java.util.ArrayList|clear()|0|L|x|1109||632
13|java.util.ArrayList|clear()|0|N||372||317
14|java.util.ArrayList|clear()|0|L|x|2267||1024
14|java.util.ArrayList|clear()|0|N||2305||1014
15|java.util.ArrayList|clear()|0|L||2025||1045
15|java.util.ArrayList|clear()|0|N||2654||1329
17|java.util.ArrayList|clear()|0|L||2517||1283
17|java.util.ArrayList|clear()|0|N||4229||2794
18|java.util.ArrayList|clear()|0|L||1073||1072
18|java.util.ArrayList|clear()|0|N||2331||2333
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371||308
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||1989
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||448
06|java.util.ArrayList|ensureCapacity(int)|0|N||300||300
06|java.util.ArrayList|ensureCapacity(int)|1|N||2323||2323
09|java.util.ArrayList|ensureCapacity(int)|0|N||362||350
09|java.util.ArrayList|ensureCapacity(int)|1|N||2488||2475
11|java.util.ArrayList|ensureCapacity(int)|0|N||294||294
11|java.util.ArrayList|ensureCapacity(int)|1|N||2183||2181
12|java.util.ArrayList|ensureCapacity(int)|0|N||261||261
12|java.util.ArrayList|ensureCapacity(int)|1|N||415||409
13|java.util.ArrayList|ensureCapacity(int)|0|N|x|231||192
14|java.util.ArrayList|ensureCapacity(int)|0|N|x|374||314
14|java.util.ArrayList|ensureCapacity(int)|1|N||4276||2184
15|java.util.ArrayList|ensureCapacity(int)|0|N||398||320
15|java.util.ArrayList|ensureCapacity(int)|1|N||4071||1997
