ExpNum|Class|Method|Contract number|Contract kind|Closed?-ClassAxiomRuleOff|Nodes-ClassAxiomRuleOff|Closed?-ClassAxiomRuleDelayed|Nodes-ClassAxiomRuleDelayed
10|java.util.ArrayList|outOfBoundsMsg(int)|0|N||108||162
11|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464|x|441
12|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474|x|455
13|java.util.ArrayList|outOfBoundsMsg(int)|0|N||94||148
14|java.util.ArrayList|outOfBoundsMsg(int)|0|N||225||295
17|java.util.ArrayList|outOfBoundsMsg(int)|0|N||474|x|455
18|java.util.ArrayList|outOfBoundsMsg(int)|0|N||464|x|441
01|java.util.ArrayList|rangeCheck(int)|0|L||315|x|658
02|java.util.ArrayList|rangeCheck(int)|0|L||740||835
03|java.util.ArrayList|rangeCheck(int)|0|L||1729|x|1742
06|java.util.ArrayList|rangeCheck(int)|0|L||1629|x|1686
10|java.util.ArrayList|rangeCheck(int)|0|L||340||418
11|java.util.ArrayList|rangeCheck(int)|0|L||1159|x|1077
12|java.util.ArrayList|rangeCheck(int)|0|L||1250|x|1121
13|java.util.ArrayList|rangeCheck(int)|0|L||307||385
14|java.util.ArrayList|rangeCheck(int)|0|L||712||795
16|java.util.ArrayList|rangeCheck(int)|0|L||1713|x|1735
17|java.util.ArrayList|rangeCheck(int)|0|L||1729|x|1742
18|java.util.ArrayList|rangeCheck(int)|0|L||1635|x|1688
01|java.util.ArrayList|rangeCheckForAdd(int)|0|L||341|x|1306
02|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1463||1650
03|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356|x|3511
06|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3219|x|3372
10|java.util.ArrayList|rangeCheckForAdd(int)|0|L||383||464
11|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2350|x|2138
12|java.util.ArrayList|rangeCheckForAdd(int)|0|L||2384|x|2238
13|java.util.ArrayList|rangeCheckForAdd(int)|0|L||333||414
14|java.util.ArrayList|rangeCheckForAdd(int)|0|L||1373||1570
16|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3418|x|3518
17|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3356|x|3511
18|java.util.ArrayList|rangeCheckForAdd(int)|0|L||3317|x|3385
01|java.util.ArrayList|size()|0|N||43|x|41
01|java.util.ArrayList|size()|1|N||46||61
02|java.util.ArrayList|size()|0|N||90|x|80
02|java.util.ArrayList|size()|1|N||94|x|112
03|java.util.ArrayList|size()|0|N||110|x|80
03|java.util.ArrayList|size()|1|N||94|x|112
06|java.util.ArrayList|size()|0|N||93|x|80
06|java.util.ArrayList|size()|1|N||98||100
10|java.util.ArrayList|size()|0|N||51|x|41
10|java.util.ArrayList|size()|1|N||54|x|67
11|java.util.ArrayList|size()|0|N||91|x|80
11|java.util.ArrayList|size()|1|N||85||102
12|java.util.ArrayList|size()|0|N||110|x|80
12|java.util.ArrayList|size()|1|N||94|x|112
13|java.util.ArrayList|size()|0|N||42|x|41
13|java.util.ArrayList|size()|1|N||45||61
14|java.util.ArrayList|size()|0|N||81|x|80
14|java.util.ArrayList|size()|1|N||85||102
16|java.util.ArrayList|size()|0|N||102|x|80
16|java.util.ArrayList|size()|1|N||107|x|106
17|java.util.ArrayList|size()|0|N||110|x|80
17|java.util.ArrayList|size()|1|N||94|x|112
18|java.util.ArrayList|size()|0|N||91|x|80
18|java.util.ArrayList|size()|1|N||85||102
01|java.util.ArrayList|trimToSize()|0|N||238||222
02|java.util.ArrayList|trimToSize()|0|N||1518||1536
03|java.util.ArrayList|trimToSize()|0|N||2373|x|2129
06|java.util.ArrayList|trimToSize()|0|N||1724||1429
10|java.util.ArrayList|trimToSize()|0|N||301||876
11|java.util.ArrayList|trimToSize()|0|N||1692||1461
12|java.util.ArrayList|trimToSize()|0|N||2062||1647
13|java.util.ArrayList|trimToSize()|0|N||190||202
14|java.util.ArrayList|trimToSize()|0|N||1179||1217
16|java.util.ArrayList|trimToSize()|0|N||2182||1784
17|java.util.ArrayList|trimToSize()|0|N||2373|x|2159
18|java.util.ArrayList|trimToSize()|0|N||1755||1510
