ExpNum|Class|Method|Contract number|Contract kind|Closed?-StringsOn|Nodes-StringsOn|Closed?-StringsOff|Nodes-StringsOff
15|java.util.ArrayList|add(java.lang.Object)|0|E|x|944|x|944
15|java.util.ArrayList|add(java.lang.Object)|0|L||1116||1116
15|java.util.ArrayList|add(java.lang.Object)|0|N||2796||2796
15|java.util.ArrayList|add(java.lang.Object)|1|N|x|4653|x|4653
15|java.util.ArrayList|add(java.lang.Object)|2|N|x|2810|x|2810
18|java.util.ArrayList|add(java.lang.Object)|0|E||1501||1501
01|java.util.ArrayList|clear()|0|L||466||466
01|java.util.ArrayList|clear()|0|N||502||502
02|java.util.ArrayList|clear()|0|L|x|1731|x|1725
02|java.util.ArrayList|clear()|0|N||1711||1721
03|java.util.ArrayList|clear()|0|L||2793||2794
03|java.util.ArrayList|clear()|0|N||2772||2772
05|java.util.ArrayList|clear()|0|L|x|1680|x|1680
06|java.util.ArrayList|clear()|0|L||475||475
06|java.util.ArrayList|clear()|0|N||495||495
07|java.util.ArrayList|clear()|0|L|x|1246|x|1246
07|java.util.ArrayList|clear()|0|N|x|1256|x|1256
08|java.util.ArrayList|clear()|0|L|x|1980|x|1980
09|java.util.ArrayList|clear()|0|L||476||476
09|java.util.ArrayList|clear()|0|N||471||471
10|java.util.ArrayList|clear()|0|L|x|2516|x|2516
11|java.util.ArrayList|clear()|0|L||573||573
11|java.util.ArrayList|clear()|0|N||631||631
12|java.util.ArrayList|clear()|0|L|x|1684|x|1684
12|java.util.ArrayList|clear()|0|N||460||460
13|java.util.ArrayList|clear()|0|L||375||375
13|java.util.ArrayList|clear()|0|N||212||212
14|java.util.ArrayList|clear()|0|L|x|1734|x|1735
16|java.util.ArrayList|clear()|0|L||1037||1037
16|java.util.ArrayList|clear()|0|N||1356||1356
17|java.util.ArrayList|clear()|0|L||2517||2517
17|java.util.ArrayList|clear()|0|N||4229||4229
18|java.util.ArrayList|clear()|0|L||2517||2517
18|java.util.ArrayList|clear()|0|N||4229||4229
01|java.util.ArrayList|ensureCapacity(int)|0|N||162||162
01|java.util.ArrayList|ensureCapacity(int)|1|N||237||237
02|java.util.ArrayList|ensureCapacity(int)|0|N|x|371|x|371
02|java.util.ArrayList|ensureCapacity(int)|1|N||3230||3230
03|java.util.ArrayList|ensureCapacity(int)|0|N||451||451
